run_id,timestamp_utc,git_sha,dataset_hash,stage,profile_family,allocation_method,bin_ratio,prominence_threshold,session_sample,command,status,selected,notes
S01-ENG-001,2026-07-24T09:10:00Z,UNCOMMITTED,SYNTHETIC,stage_01,all,all,all,all,synthetic,PYTHONPATH=src pytest,failed,false,"47 passed; one hand-calculated median expectation corrected"
S01-ENG-002,2026-07-24T09:18:00Z,UNCOMMITTED,SYNTHETIC,stage_01,all,all,all,all,synthetic,PYTHONPATH=src pytest,passed,false,"48 passed"
S01-AUD-001,2026-07-24T09:19:00Z,UNCOMMITTED,SYNTHETIC,stage_01,all,all,0.10,1.5,synthetic_all_families,PYTHONPATH=src python3 -m hvn.cli synthetic-audit --output outputs/stage_01/synthetic,failed,false,"module entry point omitted; produced no artifacts"
S01-AUD-002,2026-07-24T09:20:00Z,UNCOMMITTED,SYNTHETIC,stage_01,all,all,0.10,1.5,synthetic_all_families,PYTHONPATH=src python3 -m hvn.cli synthetic-audit --output outputs/stage_01/synthetic,failed,false,"decimal conservation assertion exposed aggregate rounding; fixed with deterministic per-bar residual allocation"
S01-AUD-003,2026-07-24T09:23:00Z,UNCOMMITTED,SYNTHETIC,stage_01,all,all,0.10,1.5,synthetic_all_families,PYTHONPATH=src python3 -m hvn.cli synthetic-audit --output outputs/stage_01/synthetic,passed,false,"engineering audit only; repeated run hashes byte-identical"
S01-ENG-003,2026-07-24T09:25:00Z,UNCOMMITTED,SYNTHETIC,stage_01,all,all,all,all,synthetic,PYTHONPATH=src pytest,passed,false,"52 passed including full synthetic audit integration and every POC tie stage"
S01-AUD-004,2026-07-24T09:27:00Z,62e308a6929d808b4d2e3727b07cd2b92e652d05,SYNTHETIC,stage_01,all,all,0.10,1.5,synthetic_all_families,PYTHONPATH=src python3 -m hvn.cli synthetic-audit --output outputs/stage_01/synthetic --code-sha 62e308a6929d808b4d2e3727b07cd2b92e652d05,passed,false,"final engineering audit; empirical MNQ audit remains blocked"
S01-ENG-004,2026-07-24T09:27:00Z,62e308a6929d808b4d2e3727b07cd2b92e652d05,SYNTHETIC,stage_01,all,all,all,all,synthetic,PYTHONPATH=src pytest,passed,false,"52 passed in 0.07s"
S01-AUD-005,2026-07-24T09:30:00Z,018038824dfabea5e01b4184bbc990206d483bf7,SYNTHETIC,stage_01,all,all,0.10,1.5,synthetic_all_families,PYTHONPATH=src python3 -m hvn.cli synthetic-audit --output outputs/stage_01/synthetic --code-sha 018038824dfabea5e01b4184bbc990206d483bf7,passed,false,"final source-linked engineering audit; repeated hashes byte-identical"
S01B-AUD-001,2026-07-24T10:50:00Z,UNCOMMITTED,MULTI_NQ_ARCHIVES,stage_01b,all,all,all,all,"2021|2023|2025|partial_2026",PYTHONPATH=src python3 scripts/audit_nq_archives.py,passed,false,"permitted-section integrity scan; NQ.FUT confirmed; no 2022 or 2024 CSV fields parsed"
S01B-ORC-001,2026-07-24T11:00:00Z,UNCOMMITTED,SYNTHETIC_HAND_CALCULATED,stage_01b,all,all,all,all,independent_fixtures,PYTHONPATH=src python3 reviews/run_stage_01b_oracle.py,passed,false,"6 independent fixtures; oracle and production differences empty"
S01B-REAL-001,2026-07-24T11:05:00Z,UNCOMMITTED,b4fcf58ff5db70d2a8d45d605ce5a2742ab003a1cf694ef2721a04562b6608e2,stage_01b,all,all,all,all,"2025-01-06|2025-01-07",PYTHONPATH=src python3 scripts/run_stage_01b_reconciliation.py,failed,false,"all bins and freeze hashes matched; eight uniform profiles exposed 1e-34 to 5e-34 aggregate Decimal residuals"
S01B-REAL-002,2026-07-24T11:12:00Z,UNCOMMITTED,b4fcf58ff5db70d2a8d45d605ce5a2742ab003a1cf694ef2721a04562b6608e2,stage_01b,all,all,"0.05|0.10|0.20","1.5|2.0|2.5","2025-01-06|2025-01-07",PYTHONPATH=src python3 scripts/run_stage_01b_reconciliation.py,passed,false,"16 profiles; exact volume/TPO/full-bin/freeze reconciliation"
S01B-DET-001,2026-07-24T11:22:00Z,UNCOMMITTED,b4fcf58ff5db70d2a8d45d605ce5a2742ab003a1cf694ef2721a04562b6608e2,stage_01b,all,all,all,all,stage_01b_outputs,"rerun oracle and real reconciliation then diff SHA-256 inventory",passed,false,"all Stage 1B artifacts byte-identical"
S01B-TEST-001,2026-07-24T11:24:00Z,UNCOMMITTED,SYNTHETIC_AND_REAL_FIXTURE,stage_01b,all,all,all,all,all_tests,PYTHONPATH=src pytest -q,passed,false,"64 passed before final NQ model guard test"
S01B-TEST-002,2026-07-24T11:35:00Z,UNCOMMITTED,SYNTHETIC_AND_REAL_FIXTURE,stage_01b,all,all,all,all,all_tests,PYTHONPATH=src pytest -q,passed,false,"65 passed; no visual generator invoked"
S01B-REAL-003,2026-07-24T11:35:00Z,UNCOMMITTED,b4fcf58ff5db70d2a8d45d605ce5a2742ab003a1cf694ef2721a04562b6608e2,stage_01b,all,all,"0.05|0.10|0.20","1.5|2.0|2.5","2025-01-06|2025-01-07",PYTHONPATH=src python3 scripts/run_stage_01b_reconciliation.py,passed,false,"compact final evidence; 16/16 profiles PASS; 1598303 exact uniform and 57260 exact TPO"
